trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
41,False,"{'a': 0.35, 'e': 0.8975000000000022}",25,0,-73.30405579118074,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",1
42,False,"{'a': 0.35, 'e': 0.8950000000000022}",25,0,-109.55471263511006,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
43,False,"{'a': 0.35, 'e': 0.8925000000000023}",25,0,-97.26502853259615,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
44,False,"{'a': 0.35, 'e': 0.8900000000000023}",30,0,-106.70204168748859,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.35, 'e': 0.8875000000000024}",20,1,-158.8909238620311,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 3}",1
46,False,"{'a': 0.35, 'e': 0.8850000000000025}",20,0,-173.5322519651091,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
47,False,"{'a': 0.35, 'e': 0.8825000000000025}",20,0,-161.58592106275728,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
48,False,"{'a': 0.35, 'e': 0.8800000000000026}",25,0,-73.86391810899553,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
49,False,"{'a': 0.35, 'e': 0.8775000000000026}",35,21,20.274659710746086,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.35, 'e': 0.8750000000000027}",30,0,-132.70397268201447,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
51,False,"{'a': 0.35, 'e': 0.8725000000000027}",20,0,-85.00127811433573,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
52,False,"{'a': 0.35, 'e': 0.8700000000000028}",20,0,-145.77742669202132,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
53,False,"{'a': 0.35, 'e': 0.8675000000000028}",25,0,-130.37693994206947,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
54,False,"{'a': 0.35, 'e': 0.8650000000000029}",25,2,-92.55567670287594,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 1}",1
55,False,"{'a': 0.35, 'e': 0.8625000000000029}",20,0,-33.52475987333742,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
56,False,"{'a': 0.35, 'e': 0.860000000000003}",20,0,-49.96353816870294,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
57,False,"{'a': 0.35, 'e': 0.857500000000003}",25,0,-178.2113885316951,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
58,False,"{'a': 0.35, 'e': 0.8550000000000031}",20,0,-84.0264697474082,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
59,False,"{'a': 0.35, 'e': 0.8525000000000031}",25,8,-45.07912001146586,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
60,False,"{'a': 0.35, 'e': 0.8500000000000032}",20,0,-88.66522341439915,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
61,False,"{'a': 0.35, 'e': 0.8475000000000033}",20,0,-61.02825125966874,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
62,False,"{'a': 0.35, 'e': 0.8450000000000033}",20,0,-25.769794337505946,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
63,False,"{'a': 0.35, 'e': 0.8425000000000034}",30,0,-196.42685657514016,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
64,False,"{'a': 0.35, 'e': 0.8400000000000034}",20,12,-5.851506764203281,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.35, 'e': 0.8375000000000035}",25,0,-143.44771433437853,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
66,False,"{'a': 0.35, 'e': 0.8350000000000035}",25,0,-90.31783143549964,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
67,False,"{'a': 0.35, 'e': 0.8325000000000036}",30,0,-85.32172319901876,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
68,False,"{'a': 0.35, 'e': 0.8300000000000036}",25,0,-111.45087741951657,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
69,False,"{'a': 0.35, 'e': 0.8275000000000037}",20,0,-98.65687703441351,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
70,False,"{'a': 0.35, 'e': 0.8250000000000037}",20,0,-27.661963361351727,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
71,False,"{'a': 0.35, 'e': 0.8225000000000038}",20,7,-1.1069109351384587,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
